record_id	title	journal	publication_date	doi	venue_tier	venue_selection_basis	journal_metric_note	primary_stratum	secondary_modalities	study_content	article_url	review_file_url	review_material_type	review_rounds	reviewer_count	review_file_sha256	review_pages	review_text_chars	extraction_method	access_status	post_publication_status	concern_codes	concern_ontology_version	canonical_concern_families	decisive_concern	request_class	governing_criterion	author_action	minimum_repair	stronger_optional_route	closure_evidence	closure_status	author_response_strategy	manuscript_change	portable_skill_rule	review_locator	response_locator	verification_note
TPR019	CLEAR: an auditable foundation model for radiology grounded in clinical concepts	Nature Biomedical Engineering	2026-07-22	10.1038/s41551-026-01741-4	2-major-specialist	Major Nature biomedical-engineering journal; selected for imaging/AI relevance and an official full peer-review file.	2025 JIF 26.3; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	chest radiography|radiology reports|clinical concepts	CLEAR derives an auditable clinical-concept space from chest-X-ray reports and uses it for diagnosis, calibration, confounder discovery and targeted model intervention.	https://www.nature.com/articles/s41551-026-01741-4	https://static-content.springer.com/esm/art%3A10.1038%2Fs41551-026-01741-4/MediaObjects/41551_2026_1741_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	3	752866dd5ea05108d6ad674609c822d89243af40e1be51786f468b6a5a01b999	26	76985	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	COMPARATOR_FAIRNESS;INTERPRETABILITY_MECHANISM;LABEL_REFERENCE_STANDARD;DATA_LEAKAGE_SPLIT;CLINICAL_WORKFLOW_UTILITY;STATISTICAL_INFERENCE	1.0.0	COMPARATOR_CONTROL_ABLATION;INTERPRETABILITY_ALTERNATIVES;COHORT_LABEL_UNIT_LEAKAGE;CLINICAL_ETHICS_FEASIBILITY;STATISTICAL_INFERENCE_CONFOUNDING	The reviewer asked for calibration results because AUROC alone did not show whether CLEAR's predicted probabilities were reliable.	manuscript-grounded-defect	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The authors added expected calibration error and Brier scores for linear probing, concept-bottleneck models and zero-shot classification, including external datasets and repeated-seed uncertainty where applicable.	Report calibration with proper scoring or calibration-error metrics in each claimed evaluation setting.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors added expected calibration error and Brier scores for linear probing, concept-bottleneck models and zero-shot classification, including external datasets and repeated-seed uncertainty where applicable.	experiment-or-analysis-added	multi_setting_calibration_analysis|proper_scoring_reporting	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Interpretability does not replace calibration; report probability reliability separately for every prediction setting in which scores are used.	reviewer report p.2, Reviewer 1 major technical comment 2	author response pp.10-12, Reviewer 1 major technical comment 2	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR020	A visual–omics foundation model to bridge histopathology with spatial transcriptomics	Nature Methods	2025-05-29	10.1038/s41592-025-02707-1	2-major-specialist	Major Nature methods journal; selected for measurement or computational-method relevance and an official full peer-review file.	2025 JIF 28.3; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-mechanism	H&E|spatial transcriptomics|single-cell references	Loki is a visual–omics foundation model for aligning histology with spatial transcriptomics, decomposing cell types, retrieving tissue and predicting expression.	https://www.nature.com/articles/s41592-025-02707-1	https://static-content.springer.com/esm/art%3A10.1038%2Fs41592-025-02707-1/MediaObjects/41592_2025_2707_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	3	9af838c4f903d9431dccdb4e88af4a81b5987ca017424ddfdb1e90ca2c3c6f73	57	152804	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	MULTISCALE_ALIGNMENT;COMPARATOR_FAIRNESS;ROBUSTNESS_OOD;ABLATION_COMPONENT;REPRODUCIBILITY_OPENNESS	1.0.0	MULTIOMICS_ALIGNMENT_ANNOTATION;COMPARATOR_CONTROL_ABLATION;EXTERNAL_VALIDATION_ROBUSTNESS;REPRODUCIBILITY_OPENNESS	Reviewer 1 asked whether OmiCLIP's ranked-gene sentences were robust to the large sequencing-depth differences across spatial-transcriptomics technologies.	manuscript-grounded-defect	Cross-modal or cell-level interpretation requires traceable matched units, defensible annotation or alignment, and evidence for the claimed bridge.	The authors described the standardized gene-ranking pipeline and downsampled high-, medium- and low-depth spatial-transcriptomics data, comparing embedding similarity across depth transitions with PLIP and OpenAI CLIP baselines.	Define transcriptomic preprocessing and test the paired image–transcriptome embedding after controlled sequencing-depth downsampling.	Optional extension, not a recorded requirement: validate both the imaging phenotype and the biological bridge in an independent matched cohort or perturbation model.	Documented same-issue repair: The authors described the standardized gene-ranking pipeline and downsampled high-, medium- and low-depth spatial-transcriptomics data, comparing embedding similarity across depth transitions with PLIP and OpenAI CLIP baselines.	experiment-or-analysis-added	sequencing_depth_stress_test|cross_modal_embedding_robustness	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	A visual–omics alignment claim must survive controlled library-depth perturbation; preprocessing descriptions alone do not establish depth robustness.	reviewer report p.3, Reviewer 1 major comment 2	author response pp.14-15, Reviewer 1 question 2	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR021	Explainable multimodal deep learning for predicting thyroid cancer lateral lymph node metastasis using ultrasound imaging	Nature Communications	2025-08-01	10.1038/s41467-025-62042-z	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	radiomics	thyroid ultrasound|radiology reports|pathology|clinical variables	LLNM-Net fuses ultrasound-derived morphology and location with reports and demographics to predict lateral lymph-node metastasis and produce a risk-stratification workflow.	https://www.nature.com/articles/s41467-025-62042-z	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-62042-z/MediaObjects/41467_2025_62042_MOESM2_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	2	519e8db7003f32ebc78a4e5b1ba223602904e77bac9d11f997f713a024972911	20	38576	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	COMPARATOR_FAIRNESS;ABLATION_COMPONENT;EXTERNAL_VALIDATION	1.0.0	COMPARATOR_CONTROL_ABLATION;EXTERNAL_VALIDATION_ROBUSTNESS	Reviewer 1 found that the study lacked a thorough comparison with established metastasis-prediction baselines, limiting interpretation of LLNM-Net's claimed advantage.	manuscript-grounded-defect	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The authors added comparisons with newer AI baselines in Supplementary Table S7 and stated that all methods used the same preprocessing and model-tuning procedures.	Benchmark LLNM-Net against current established alternatives under the same preprocessing and tuning conditions and report comparable performance metrics.	Optional extension, not a recorded requirement: repeat feature robustness and external transport testing under a locked radiomics specification.	Documented same-issue repair: The authors added comparisons with newer AI baselines in Supplementary Table S7 and stated that all methods used the same preprocessing and model-tuning procedures.	analysis-or-evidence-added	current_baseline_benchmarking|matched_preprocessing_and_tuning	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Before claiming superiority for a radiomic or multimodal risk model, compare it with current established baselines under matched preprocessing, tuning and evaluation metrics.	reviewer report p.1, Reviewer 1 Comment 1	author response pp.4-5, Reviewer 1 Comment 1	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR022	A clinically accessible small multimodal radiology model and evaluation metric for chest X-ray findings	Nature Communications	2025-04-01	10.1038/s41467-025-58344-x	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	chest radiography|radiology reports|LLM-generated labels	LLaVA-Rad is a lightweight chest-X-ray multimodal model paired with CheXprompt, an automated granular report-evaluation metric.	https://www.nature.com/articles/s41467-025-58344-x	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-58344-x/MediaObjects/41467_2025_58344_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	4	abbca1ea3132800f99a617f27a68eecaa051f9402026d92c694afeca2a452605	31	66762	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	EXTERNAL_VALIDATION;LABEL_REFERENCE_STANDARD;ABLATION_COMPONENT;COMPARATOR_FAIRNESS;FAILURE_ANALYSIS	1.0.0	EXTERNAL_VALIDATION_ROBUSTNESS;COHORT_LABEL_UNIT_LEAKAGE;COMPARATOR_CONTROL_ABLATION	Reviewer 1 asked how GPT-4 processing affected the correctness and bias of radiology training data used for translation, section extraction and synthetic reports.	manuscript-grounded-defect	Generalization and utility claims must match an explicitly shifted independent validation setting and expose robustness and failure boundaries.	The authors kept primary evaluation on rule-based sections, added ablations of GPT-processed training data, and compared processed or synthetic reports with available originals using lexical, factual and error metrics.	Separate evaluation from GPT-processed data and directly assess GPT-processed reports against available rule-based or original reports.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors kept primary evaluation on rule-based sections, added ablations of GPT-processed training data, and compared processed or synthetic reports with available originals using lexical, factual and error metrics.	experiment-or-analysis-added	llm_data_provenance_audit|independent_evaluation_path	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	When an LLM transforms training labels or reports, keep the test reference independent of that transformation and quantify transformation errors against available originals.	reviewer report p.1, Reviewer 1 comment 2	author response pp.8-9, R1C2	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR023	AI-Based screening for thoracic aortic aneurysms in routine breast MRI	Nature Communications	2025-06-12	10.1038/s41467-025-59694-2	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	breast MRI|aortic measurement|radiologist reference standard	The study opportunistically screens thoracic aortic aneurysm from routine breast MRI and validates automated aortic measurements across sites and contrast phases.	https://www.nature.com/articles/s41467-025-59694-2	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-59694-2/MediaObjects/41467_2025_59694_MOESM2_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	4	82cd7c76c8a38d321536d64594fba8538f81f3c902def280eaef7858c5fa5c2c	40	104205	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	LABEL_REFERENCE_STANDARD;EXTERNAL_VALIDATION;ROBUSTNESS_OOD;STATISTICAL_INFERENCE;CLINICAL_WORKFLOW_UTILITY	1.0.0	COHORT_LABEL_UNIT_LEAKAGE;EXTERNAL_VALIDATION_ROBUSTNESS;STATISTICAL_INFERENCE_CONFOUNDING;CLINICAL_ETHICS_FEASIBILITY	The reviewer found the expertise, training and supervision used to create thoracic-aorta segmentation ground truth insufficiently specified.	clarification-needed	The claimed effect must use valid labels and the correct independent unit, with cohort provenance and leakage-safe separation exposed.	The authors specified that supervised medical students produced training annotations, board-certified radiologists performed evaluation, and two radiologists independently validated all external-test segmentations and more than 1,000 diameter measurements.	Report annotator roles, expertise, segmentation guidance and how expert supervision or validation was performed.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors specified that supervised medical students produced training annotations, board-certified radiologists performed evaluation, and two radiologists independently validated all external-test segmentations and more than 1,000 diameter measurements.	analysis-or-evidence-added	annotation_provenance_disclosure|expert_blinded_validation	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	For imaging ground truth, report who annotated, who supervised and who independently validated; a generic expert label is not reproducible provenance.	reviewer comment reproduced in author response p.10, R1.4	author response p.10, R1.4	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR024	A large model for non-invasive and personalized management of breast cancer from multiparametric MRI	Nature Communications	2025-04-17	10.1038/s41467-025-58798-z	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	multiparametric breast MRI|molecular subtype|treatment response	MOME integrates DCE-MRI, T2-weighted and diffusion imaging for malignancy, molecular subtype and neoadjuvant-treatment response prediction.	https://www.nature.com/articles/s41467-025-58798-z	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-58798-z/MediaObjects/41467_2025_58798_MOESM2_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	2	e5405965057c600f9d2811d5f2be4e9d7b8766266ad1d35cd0b32c2275730fbd	14	28517	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	COMPARATOR_FAIRNESS;STATISTICAL_INFERENCE;INTERPRETABILITY_MECHANISM;EXTERNAL_VALIDATION;CLAIM_CALIBRATION	1.0.0	COMPARATOR_CONTROL_ABLATION;STATISTICAL_INFERENCE_CONFOUNDING;INTERPRETABILITY_ALTERNATIVES;EXTERNAL_VALIDATION_ROBUSTNESS;CONTRIBUTION_CLAIM_CALIBRATION	Reviewer 1 found no convincing evidence that MOME significantly improved on existing methods because most uncertainty intervals overlapped.	manuscript-grounded-defect	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The authors pooled the two prespecified test sets for a 1,042-case comparison and added model-wise AUROC and AUPRC contrasts with 95% confidence intervals and significance results.	Use a matched comparison with uncertainty and formal model contrasts before claiming superiority.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors pooled the two prespecified test sets for a 1,042-case comparison and added model-wise AUROC and AUPRC contrasts with 95% confidence intervals and significance results.	analysis-or-evidence-added	matched_model_contrast|uncertainty_aware_superiority_claim	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Do not infer superiority from point estimates whose uncertainty overlaps; report matched contrasts and scope the claim to the metrics and models actually separated.	reviewer report p.1, Reviewer 1 primary concern	author response p.4, Reviewer 1 primary concern	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR025	Self-supervised learning reveals clinically relevant histomorphological patterns for therapeutic strategies in colon cancer	Nature Communications	2025-03-08	10.1038/s41467-025-57541-y	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	digital-pathology	colon-cancer WSI|self-supervised clusters|treatment response	The study derives histomorphological phenotype clusters from colon-cancer whole slides and links them to survival, pathways and bevacizumab response.	https://www.nature.com/articles/s41467-025-57541-y	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-57541-y/MediaObjects/41467_2025_57541_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	3	088ac0b10bfafda8c062520a078428c1cd37db1f91693edc20eb0eccd585cdd0	27	62964	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	LABEL_REFERENCE_STANDARD;INTERPRETABILITY_MECHANISM;MULTISCALE_ALIGNMENT;REPRODUCIBILITY_OPENNESS;CLAIM_CALIBRATION	1.0.0	COHORT_LABEL_UNIT_LEAKAGE;INTERPRETABILITY_ALTERNATIVES;MULTIOMICS_ALIGNMENT_ANNOTATION;REPRODUCIBILITY_OPENNESS;CONTRIBUTION_CLAIM_CALIBRATION	The reviewer requested a statistical test of whether the Barlow Twins redundancy constraint affected the number and clinical alignment of learned histomorphological clusters.	manuscript-grounded-defect	The claimed effect must use valid labels and the correct independent unit, with cohort provenance and leakage-safe separation exposed.	The authors retrained the model with two lower lambda values and repeated the analysis, observing fewer histomorphological clusters than with the original lambda setting.	Vary the redundancy weight, retrain the pipeline and measure whether the learned cluster structure changes.	Optional extension, not a recorded requirement: test slide-, laboratory- and population-shift robustness with patient-level separation.	Documented same-issue repair: The authors retrained the model with two lower lambda values and repeated the analysis, observing fewer histomorphological clusters than with the original lambda setting.	experiment-or-analysis-added	hyperparameter_sensitivity_retraining|cluster_structure_analysis	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	If a representation-learning constraint is claimed to preserve biological heterogeneity, perturb that constraint and quantify how the learned phenotype structure changes.	reviewer report p.1, Reviewer 1 comment 3	author response p.7, reproduced comment 4	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR026	Large-scale generative tumor synthesis in computed tomography images for improving tumor recognition	Nature Communications	2025-12-11	10.1038/s41467-025-66071-6	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	multi-organ CT|synthetic tumors|segmentation	DiffTumor synthesizes tumors at scale in CT and evaluates whether generated lesions improve downstream tumor recognition and segmentation.	https://www.nature.com/articles/s41467-025-66071-6	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-66071-6/MediaObjects/41467_2025_66071_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	2	40bf9996d8cba887ccbf18a5157208bcd7977fe0dbc712cc1e25604b2999aac8	35	113384	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	DATA_LEAKAGE_SPLIT;IMAGE_QUALITY_REALISM;COMPARATOR_FAIRNESS;EXTERNAL_VALIDATION;REPRODUCIBILITY_OPENNESS	1.0.0	COHORT_LABEL_UNIT_LEAKAGE;EXTERNAL_VALIDATION_ROBUSTNESS;COMPARATOR_CONTROL_ABLATION;REPRODUCIBILITY_OPENNESS	Reviewer 1 found the visual Turing test under-specified, including cropping, 2D versus 3D review, windowing, organ disclosure and selection of real and synthetic cases.	manuscript-grounded-defect	The claimed effect must use valid labels and the correct independent unit, with cohort provenance and leakage-safe separation exposed.	The authors specified whole-volume 3D presentation, organ disclosure, allowed windowing, real and synthetic case sources and synthesis procedure, and added FID, FVD and LPIPS assessments.	Disclose the complete reader-study presentation and case-selection protocol, and add a non-reader image-fidelity assessment.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors specified whole-volume 3D presentation, organ disclosure, allowed windowing, real and synthetic case sources and synthesis procedure, and added FID, FVD and LPIPS assessments.	analysis-or-evidence-added	reader_study_protocol_disclosure|complementary_fidelity_metrics	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	A visual Turing test is interpretable only when case selection, viewing dimension, preprocessing, reader information and allowed controls are fully specified.	reviewer report p.1, Reviewer 1 comment 4	author response pp.7-8, Reviewer 1 comment 4	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR027	A multimodal knowledge-enhanced whole-slide pathology foundation model	Nature Communications	2025-12-12	10.1038/s41467-025-66220-x	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	digital-pathology	WSI|pathology reports|gene expression	A knowledge-enhanced whole-slide foundation model aligns pathology images with reports and gene expression for diverse diagnostic and prognostic tasks.	https://www.nature.com/articles/s41467-025-66220-x	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-66220-x/MediaObjects/41467_2025_66220_MOESM2_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	3	2d310341bed6842d353af6bef6cdaf0692449f5f9e96925c5e5fd742f1475191	15	31752	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	NOVELTY_CONTRIBUTION;MULTISCALE_ALIGNMENT;ABLATION_COMPONENT;COMPARATOR_FAIRNESS;REPRODUCIBILITY_OPENNESS	1.0.0	CONTRIBUTION_CLAIM_CALIBRATION;MULTIOMICS_ALIGNMENT_ANNOTATION;COMPARATOR_CONTROL_ABLATION;REPRODUCIBILITY_OPENNESS	Reviewer 3 said the contribution of a third modality was entangled with a new two-stage pretraining scheme, preventing attribution of the small gain.	manuscript-grounded-defect	The stated contribution and every material claim must remain a defensible delta within the actual design, evidence, uncertainty and validated scope.	The authors mapped the modality comparison to the frozen-extractor aggregator stage and the encoder-update comparison to the second stage, and reported quantitative and feature-space evidence for each stage separately.	Use staged or factorial comparisons that separately identify the effect of modality addition and the effect of updating the image encoder.	Optional extension, not a recorded requirement: test slide-, laboratory- and population-shift robustness with patient-level separation.	Documented same-issue repair: The authors mapped the modality comparison to the frozen-extractor aggregator stage and the encoder-update comparison to the second stage, and reported quantitative and feature-space evidence for each stage separately.	analysis-or-evidence-added	staged_component_ablation|multimodal_attribution	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	A multimodal gain is attributable only when modality count and training-scheme changes are varied separately; a bundled comparison cannot identify the source of improvement.	reviewer report p.2, Reviewer 3 entanglement concern	author response p.14, Reviewer 3 comment 2	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR028	A lung CT vision foundation model facilitating disease diagnosis and medical imaging	Nature Communications	2025-12-03	10.1038/s41467-025-66620-z	3-high-impact-fallback	High-impact Nature Portfolio multidisciplinary journal; admitted only with topic relevance and an official full peer-review file.	2025 JIF 18.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	lung CT|vision foundation model|segmentation and reconstruction	LCTfound is a lung-CT foundation model evaluated for diagnosis, segmentation, generation, sparse-view reconstruction and transfer.	https://www.nature.com/articles/s41467-025-66620-z	https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-025-66620-z/MediaObjects/41467_2025_66620_MOESM2_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	4	42d733053237eb47bdfd7e2e2f26bc24cb054bf8ee57869cb14e751f1ddf27a7	70	168566	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	REPRODUCIBILITY_OPENNESS;EXTERNAL_VALIDATION;COMPARATOR_FAIRNESS;STATISTICAL_INFERENCE;ROBUSTNESS_OOD;CLAIM_CALIBRATION	1.0.0	REPRODUCIBILITY_OPENNESS;EXTERNAL_VALIDATION_ROBUSTNESS;COMPARATOR_CONTROL_ABLATION;STATISTICAL_INFERENCE_CONFOUNDING;CONTRIBUTION_CLAIM_CALIBRATION	Reviewer 1 found the exclusion of more than 300,000 lung CT studies insufficiently defined, especially the image-quality and diagnosis filters.	clarification-needed	The cohort, split, assay, model and analysis must be reconstructable from versioned methods and accessible artifacts or explicit restrictions.	The authors provided a staged flow from 485,885 scans to 105,184 scans, including report availability, an NLP confidence threshold above 0.9, file-corruption checks, an edge-ratio screen and manual review of noisy candidates.	Report each exclusion stage, the diagnostic confidence threshold and the image-quality rule used to remove scans.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors provided a staged flow from 485,885 scans to 105,184 scans, including report availability, an NLP confidence threshold above 0.9, file-corruption checks, an edge-ratio screen and manual review of noisy candidates.	analysis-or-evidence-added	cohort_flow_accounting|quality_filter_specification	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Large-scale imaging pretraining requires an auditable cohort flow with numeric losses and operational exclusion thresholds at every filtering stage.	reviewer report p.1, Reviewer 1 comment 1	author response pp.6-7, Reviewer 1 comment 1	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
