id	modality	theme	title	publication_date	journal	doi	pmid	evidence_type	concrete_content	decision_changed	constraints	skill_action	writing_requirement	jif_value	jif_year	jif_source
ST11	histopathology plus spatial transcriptomics	histology-foundation-model	A visual-omics foundation model to bridge histopathology with spatial transcriptomics	2025-05-29	Nature Methods	10.1038/s41592-025-02707-1	40442373	primary	OmiCLIP is trained on 2.2 million paired image-transcriptomic patches from 32 organs; Loki supports alignment, annotation, decomposition, retrieval and H&E-to-expression prediction.	Makes external tissue and staining validation mandatory and separates histology-predicted expression from measured spatial expression.	Domain shift, gene-rank sentence encoding, pretraining overlap and platform coverage can inflate performance; output is predicted.	Audit corpus overlap and staining domain; compare simple image baselines; validate held-out measured sections; label predictions in every output.	Methods: corpus, model, overlap and split; Results: held-out baseline-relative metrics; Figure legend: predicted versus measured; Discussion: domain shift and non-measurement.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST12	spatial transcriptomics plus scRNA-seq	expression-imputation	SpaIM: single-cell spatial transcriptomics imputation via style transfer	2025-08-23	Nature Communications	10.1038/s41467-025-63185-9	40849313	primary	Uses style-transfer integration of scRNA-seq and spatial data to impute unmeasured genes and reports comparisons across 53 datasets and 12 methods.	Requires held-out gene and dataset validation before imputed genes enter domain, differential expression or CCC analyses.	Reference shift and shared-content assumptions transfer scRNA biases; imputation cannot create direct spatial measurements.	Hold out measured genes and samples; compare simple mapping baselines; keep an inferred layer; block unvalidated imputed-only biomarkers.	Methods: reference, overlap, holdout and model; Results: measured-gene validation and calibration; Figure legend: measured or imputed; Discussion: reference and non-observation limits.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST13	spatial transcriptomics	interpretable-representation	Interpretable spatially aware dimension reduction of spatial transcriptomics with STAMP	2024-10-15	Nature Methods	10.1038/s41592-024-02463-8	39407016	primary	STAMP uses a deep generative topic model to return low-dimensional spatial topics and associated gene modules across single, multiple and time-series sections.	Promotes interpretable topic and gene-module reporting instead of treating an embedding or cluster as a biological entity.	Topic number, priors, batch structure and model fit change domains; topics are not observed cell types.	Test topic-number and seed stability; connect modules to markers and morphology; retain continuous topic scores.	Methods: topic model, priors and stability; Results: module support and sample consistency; Figure legend: topic is inferred; Discussion: model and annotation dependence.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST14	spatial transcriptomics foundation model	foundation-model-domain-inference	Novae: a graph-based foundation model for spatial transcriptomics data	2025-12-10	Nature Methods	10.1038/s41592-025-02899-6	41372623	primary	Trains a graph model on nearly 30 million cells across 18 tissues for zero-shot domain inference, batch handling and nested domain hierarchies across panels and technologies.	Requires task-level zero-shot validation and prevents naming a pretrained domain as a new cell type or mechanism without evidence.	Training tissue and panel coverage constrain transfer; rare or novel states may be absorbed into learned domains.	Audit pretraining overlap and panel genes; compare non-pretrained spatial baselines; validate domains with pathology and markers.	Methods: pretraining corpus, overlap and inference mode; Results: zero-shot baseline-relative performance; Figure legend: learned domain; Discussion: coverage and novelty limits.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST15	multi-sample spatial transcriptomics	multi-source-integration	Interpretable, flexible and spatially aware integration of multiple spatial transcriptomics datasets from diverse sources	2026-04-27	Nature Genetics	10.1038/s41588-026-02579-x	42045691	primary	INSPIRE combines adversarial graph learning with non-negative matrix factorization to integrate multiple technologies while returning spatial factors and gene programs.	Makes condition preservation and overcorrection audits mandatory for cross-sample and cross-platform integration.	Adversarial alignment can erase real condition or patient differences; performance is application and parameter dependent.	Preserve sample covariates; compare unintegrated and integrated signals; use leave-one-sample-out checks; report factor stability.	Methods: graph, covariates, adversarial objective and parameters; Results: mixing plus biological preservation; Figure legend: integrated state; Discussion: possible overcorrection.	25.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST16	capture-based spatial transcriptomics plus histology	cell-reconstruction	STIE: Single-cell level deconvolution, convolution, and clustering in in situ capturing-based spatial transcriptomics	2024-08-30	Nature Communications	10.1038/s41467-024-51728-5	39214995	primary	Aligns spot expression with histological nuclei using expectation maximization to deconvolve spots, recover cells from gap areas and cluster at whole-slide scale.	Requires recovered cells and cell-specific expression to be labelled as estimates and validated against true single-cell-resolution assays.	Nuclear detection errors, non-nucleated or multinucleated cells and histology-expression mismatch violate the reconstruction assumptions.	Validate on matched high-resolution regions; quantify recovered-cell uncertainty; compare spot-level conclusions; block observation language.	Methods: nuclei, alignment and EM assumptions; Results: reconstruction accuracy and sensitivity; Figure legend: observed nuclei versus reconstructed cells; Discussion: model-estimated cell boundary.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST17	spatial transcriptomics deconvolution	fine-grained-deconvolution	Ultra-precision deconvolution of spatial transcriptomics decodes immune heterogeneity and fate-defining programs in tissues	2026-03-20	Nature Communications	10.1038/s41467-026-70645-3	41862467	primary	UCASpatial applies entropy-based weighting to map low-abundance and transcriptionally heterogeneous subpopulations and demonstrates applications in colorectal cancer and wound repair.	Raises the validation bar for rare-subpopulation deconvolution and links cell-fraction estimates to spatial communities only after benchmark support.	Reference quality and compositional identifiability constrain rare-state recovery; reported superiority and mechanisms require independent tissue validation.	Audit reference match and rare-state detectability; perturb marker sets; compare coarse and fine labels; validate with in situ markers.	Methods: reference, entropy weighting and benchmarks; Results: uncertainty and marker robustness; Figure legend: deconvolved estimate; Discussion: rare-state and external-validation limits.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST18	spatial transcriptomics	SVG-taxonomy	Categorization of 34 computational methods to detect spatially variable genes from spatially resolved transcriptomics data	2025-01-29	Nature Communications	10.1038/s41467-025-56080-w	39880807	review	Classifies 34 SVG methods into overall SVG, cell-type-specific SVG and spatial-domain-marker SVG categories and compares their inferential targets and tests.	Forces the SVG estimand to be named before method selection and blocks cross-category performance or result comparisons.	It is a taxonomy review rather than a universal benchmark or consensus; the method landscape will evolve.	Route by SVG category, resolution and null; record test and multiplicity; avoid a generic SVG claim.	Methods: SVG category, null and test; Results: category-specific effects; Figure legend: target and resolution; Discussion: category and benchmark limits.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST19	spatial transcriptomics	cell-type-specific-SVG	Statistical identification of cell type-specific spatially variable genes in spatial transcriptomics	2025-01-26	Nature Communications	10.1038/s41467-025-56280-4	39865128	primary	Celina uses a spatially varying coefficient model for cell-type-specific SVG detection with type I error control in single-cell- and spot-resolution data.	Requires cell-type-specific spatial tests rather than conflating cell abundance with within-cell-type expression pattern.	Spot-resolution ct-SVGs depend on composition estimates and model assumptions; deconvolution error can create apparent variation.	Report composition source and uncertainty; simulate or permute under the fitted design; validate priority genes by in situ assay.	Methods: cell fractions, spatial model and multiplicity; Results: effect surfaces and error control; Figure legend: ct-SVG and resolution; Discussion: deconvolution dependence.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST20	subcellular spatial transcriptomics	subcellular-expression	ELLA: modeling subcellular spatial variation of gene expression within cells in high-resolution spatial transcriptomics	2025-11-11	Nature Communications	10.1038/s41467-025-64867-0	41219206	primary	ELLA uses an over-dispersed nonhomogeneous Poisson process in a unified cell coordinate system to test nuclear, cytoplasmic and membrane-associated RNA localization.	Creates a distinct subcellular estimand and requires segmentation and cell-shape normalization audits before localization claims.	Boundary and coordinate errors directly affect localization; statistical association does not establish RNA transport or retention mechanism.	Audit segmentation and transcript localization error; stratify by cell shape and cycle; validate selected RNAs by orthogonal imaging.	Methods: cell coordinate, point process and segmentation; Results: localization effect and robustness; Figure legend: compartment and coordinate; Discussion: non-mechanistic localization boundary.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST21	single-cell-resolution spatial transcriptomics	cell-cell-communication	Mapping cellular interactions from spatially resolved transcriptomics data	2024-09-03	Nature Methods	10.1038/s41592-024-02408-1	39227721	primary	Spacia uses multiple-instance learning to model multiple senders to one receiver without restricting inference to known ligand-receptor pairs and evaluates MERSCOPE, CosMx and Xenium data.	Expands CCC beyond nearest-neighbour ligand-receptor overlap while preserving its status as a statistical interaction hypothesis.	Predicted gene-to-gene effects are observational and depend on segmentation, distance and model assumptions.	Use spatial nulls and negative controls; repeat under alternative boundaries; prioritize perturbable interactions; avoid causal verbs.	Methods: sender-receiver definition, radius, null and model; Results: effect and stability; Figure legend: inferred interaction; Discussion: observational non-causality.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST22	single-cell-resolution spatial transcriptomics	ligand-receptor-dynamics	CytoSignal detects locations and dynamics of ligand-receptor signaling at cellular resolution from spatial transcriptomic data	2026-06-10	Nature Genetics	10.1038/s41588-026-02624-9	42271087	primary	CytoSignal maps contact-dependent and diffusible ligand-receptor scores, gradients, differential signaling and inferred temporal dynamics, with selected in situ proximity ligation validation.	Requires location-aware LR analysis and promotes orthogonal in situ validation before signaling claims are strengthened.	Temporal dynamics are model inferred and limited LR validation cannot establish every predicted interaction.	Prespecify interaction range and LR database; use spatial nulls; validate high-priority pairs by proximity or perturbation.	Methods: LR source, spatial kernel and validation; Results: effect, uncertainty and validated subset; Figure legend: inferred or validated; Discussion: limited causal and temporal support.	25.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST23	spatial transcriptomics	relay-networks	CellNEST reveals cell-cell relay networks using attention mechanisms on spatial transcriptomics	2025-06-06	Nature Methods	10.1038/s41592-025-02721-3	40481363	primary	CellNEST uses attention to infer ligand-receptor-ligand-receptor relay networks and provides cell-level interactive spatial visualization.	Adds relay-network hypotheses but requires them to be distinguished from direct pairwise signaling and experimentally tested.	Attention weights and relay paths are putative and depend on database, distance, segmentation and model architecture.	Run database and radius sensitivity; test relay order against alternatives; select tractable nodes for perturbation or multiplex imaging.	Methods: database, graph and attention model; Results: stable relays and controls; Figure legend: putative relay; Discussion: attention and causality boundary.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST24	spatial transcriptomics plus histology	multi-slice-domain-integration	STAIG: Spatial transcriptomics analysis via image-aided graph contrastive learning for domain exploration and alignment-free integration	2025-01-27	Nature Communications	10.1038/s41467-025-56276-0	39870633	primary	STAIG combines expression, coordinates and histology through graph contrastive learning for spatial-domain detection and multi-slice integration without prealignment.	Provides an alignment-free representation route while requiring separate physical registration for pathology or radiology co-localization claims.	Deep embeddings and batch removal can overcorrect biology; no-prealignment integration does not establish micron-scale coordinate correspondence.	Compare image-free and simple graph baselines; audit condition preservation; perform explicit registration for local cross-modal claims.	Methods: modalities, graph, contrastive objective and batches; Results: domain and preservation metrics; Figure legend: integrated versus registered; Discussion: embedding and registration boundary.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST25	time-series spatial transcriptomics	spatiotemporal-trajectory	STORIES: learning cell fate landscapes from spatial transcriptomics using optimal transport	2025-11-03	Nature Methods	10.1038/s41592-025-02855-4	41184554	primary	Extends optimal transport to learn a spatially informed differentiation potential from multiple measured time points and benchmarks three Stereo-seq spatiotemporal atlases.	Requires true time-series sampling before spatial trajectory inference and separates inferred drivers from lineage evidence.	Transport relies on continuity, cost and sampling assumptions; recovered paths and regulators are hypothesis generating.	Record time points and destructive sampling; test cost and neighbourhood sensitivity; compare non-spatial OT; validate with lineage or perturbation.	Methods: time points, transport cost and assumptions; Results: path uncertainty and known-marker recovery; Figure legend: inferred trajectory; Discussion: no direct lineage or causality.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST26	spatial transcriptomics	spatial-velocity	Topological velocity inference from spatial transcriptomic data	2025-07-16	Nature Biotechnology	10.1038/s41587-025-02688-8	40670711	primary	TopoVelo extends RNA velocity with spatially coupled differential equations to infer temporal and spatial cell-state dynamics and neighbourhood dependencies.	Creates a separate velocity route requiring kinetic diagnostics and blocks equating arrows with lineage or migration.	Velocity depends on splicing, kinetics, topology and spatial coupling assumptions and is not direct temporal observation.	Audit gene kinetics and fit; compare spatial and non-spatial velocity; perturb neighbourhood choices; seek measured time or lineage validation.	Methods: count layers, kinetics and spatial graph; Results: fit and directional stability; Figure legend: inferred velocity; Discussion: non-lineage and non-migration boundary.	44.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST27	2D-to-3D spatial transcriptomics	3D-reconstruction	Bridging the dimensional gap from planar spatial transcriptomics to 3D cell atlases	2025-12-31	Nature Methods	10.1038/s41592-025-02969-9	41476112	primary	SpatialZ generates virtual sections between sparse measured sections and builds dense single-cell 3D atlases, including a more than 38-million-cell brain atlas.	Requires virtual sections to remain an inferred layer and introduces held-out-section validation for 3D reconstruction.	Abrupt boundaries, missing tissue and sparse spacing are weakly identifiable; interpolation is not new measurement.	Reserve measured slices for blind validation; map uncertainty by distance from measured sections; keep measured and virtual layers separable.	Methods: section spacing, alignment, model and holdouts; Results: held-out error and uncertainty; Figure legend: measured or virtual slice; Discussion: interpolation and missing-anatomy limits.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST28	spatial transcriptomics plus allelic counts	CNA-phylogeography	Inferring allele-specific copy number aberrations and tumor phylogeography from spatially resolved transcriptomics	2024-10-30	Nature Methods	10.1038/s41592-024-02438-9	39478176	primary	CalicoST jointly infers allele-specific CNAs, copy-neutral LOH, mirrored subclonal CNAs and spatial tumour phylogeography from SRT, including adjacent-section 3D analyses.	Allows RNA-derived clonal hypotheses only with explicit allelic evidence, tumour-purity sensitivity and orthogonal DNA validation.	Low RNA coverage, allelic bias and normal-cell admixture affect calls; inferred clones and trees are not measured genomes.	Audit informative SNPs and purity; compare total-copy baselines; validate key clones with DNA, FISH or mutation assays.	Methods: alleles, purity, model and DNA reference; Results: uncertainty and validated events; Figure legend: RNA-inferred CNA or clone; Discussion: phylogeny and DNA boundary.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST29	mutation profiling plus spatial transcriptomics	clone-neighbourhoods	Paired mutation calling and spatial transcriptomics identify cellular neighborhoods associated with the neoplastic outcome of mouse colitis	2026-07-28	Nature Genetics	10.1038/s41588-026-02673-0	42521760	primary	Combines in vivo lineage tracing, mutation profiling, spatial transcriptomics and modelling to relate clone fates to inflammatory, epithelial and immune neighbourhoods in colitis-associated tumorigenesis.	Demonstrates the evidence ladder needed before linking spatial environment to clone selection and neoplastic outcome.	Mouse colitis biology may not transfer to human tumours; neighbourhood association alone does not prove selection mechanism.	Require mutation or barcode identity plus spatial context; model clone-by-niche alternatives; validate in independent tissue or perturbation.	Methods: mutation, lineage, neighbourhood and model; Results: clone-niche effect and replication; Figure legend: measured clone versus inferred neighbourhood; Discussion: model-species and causality limits.	25.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST30	CRISPR plus imaging spatial transcriptomics	spatial-perturbation	Simultaneous CRISPR screening and spatial transcriptomics reveal intracellular, intercellular, and functional transcriptional circuits	2025-03-12	Cell	10.1016/j.cell.2025.02.012	40081369	primary	Perturb-FISH combines in situ guide detection, imaging spatial transcriptomics and functional readouts in monocytes, 3D xenografts and iPSC-derived astrocytes.	Separates directly observed spatial perturbation effects from virtual knockout and enables intracellular, intercellular and density-dependent estimands.	Effects are model, guide, density and environment specific; screens do not automatically establish human tissue relevance.	Audit guide identity, efficiency, off-targets, controls and spatial exposure; model guide-by-neighbourhood effects; validate priority mechanisms.	Methods: guides, assignment, controls and spatial model; Results: guide effects and interaction terms; Figure legend: perturbed versus predicted; Discussion: context and transfer limits.	45.1	2025	https://www.sciencedirect.com/journal/cell/about/insights
ST31	lineage tracing plus imaging spatial transcriptomics	spatial-lineage	SpaceBar enables single-cell-resolution clone tracing with imaging-based spatial transcriptomics	2025-12-18	Nature Methods	10.1038/s41592-025-02968-w	41413345	primary	Uses 96 synthetic sequences in combinatorial cellular barcodes to pair clone identity with imaging-based spatial gene expression.	Enables explicit separation of clonal inheritance and local-environment association instead of inferring lineage from transcriptomic similarity.	Barcode collision, dropout, detectability and fitness effects require control; statistical separation does not prove a mechanism.	Report barcode design, collision and recovery; test clone-by-location models; retain unassigned cells; validate clone-specific findings.	Methods: barcode library, assignment and collision control; Results: clone recovery and environmental effects; Figure legend: barcode-observed clone; Discussion: dropout and mechanistic boundary.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST32	cross-species single-cell spatial transcriptomics	cross-species-atlas	Cross-species single-cell spatial transcriptomic atlases of the cerebellar cortex	2024-09-27	Science	10.1126/science.ado3927	39325889	primary	Builds macaque, marmoset and mouse cerebellar spatial atlases and compares cell subtypes, layers, region-selective genes and transcriptomic gradients with functional-connectivity gradients.	Requires orthology, region and sampling audits before calling a spatial feature conserved or species specific.	Cross-species mapping, technical differences and regional sampling can mimic divergence; fMRI concordance remains correlational.	Use one-to-one ortholog and sensitivity sets; model species at the biological-sample level; validate spatial markers in each species.	Methods: species, regions, orthology and harmonization; Results: conserved and divergent effects; Figure legend: species and mapping; Discussion: sampling, technology and correlation limits.	47.3	2025	https://www.wolterskluwer.com/en/solutions/ovid/science-1250
ST33	whole-embryo MERFISH plus multi-omics	developmental-atlas	Whole-embryo spatial transcriptomics at subcellular resolution from gastrulation to organogenesis	2026-03-12	Science	10.1126/science.adt3439	41818362	primary	weMERFISH directly measures 495 genes at subcellular resolution in zebrafish embryos and integrates broader transcriptomic, chromatin-accessibility and live-imaging atlases to study pattern formation.	Forces direct spatial measurements to be separated from integrated atlas values and demonstrates how live imaging can adjudicate competing pattern mechanisms.	Only 495 genes are directly measured in situ; integrated 25,872-gene expression and chromatin resources are not all direct spatial observations.	Maintain modality and measured-feature provenance; validate integrated patterns within the measured panel; distinguish expression change from cell sorting.	Methods: measured panel and integrated resources; Results: direct versus integrated evidence; Figure legend: modality and measured status; Discussion: targeted-panel and developmental-transfer limits.	47.3	2025	https://www.wolterskluwer.com/en/solutions/ovid/science-1250
